PRCP,TAVG,TMAX,TMIN
0.08,52,54,50
0,50,52,50
0.01,49,53,47
0.27,51,54,47
0.27,43,43,43
0,36,40,35
0,34,38,32
0.12,33,43,29
0.53,41,47,30
0.02,44,53,34
0.03,44,47,43
0.09,41,48,39
0.23,45,52,38
0.4,44,49,40
0.02,42,49,39
0,38,44,35
0,39,44,31
0,38,44,33
0,35,43,26
0.04,42,47,27
0,40,45,34
0,35,40,33
0,44,47,28
0,45,48,34
0.11,42,50,31
0.05,45,46,30
0.16,35,38,35
0.14,38,52,32
0,39,42,35
0.11,36,40,33
0.74,37,44,35
0.21,45,54,33
0.02,46,55,44
0.44,52,56,46
0,46,48,44
0,42,47,40
0.11,41,52,34
0.02,49,55,36
0.23,53,56,47
0,45,46,44
0.18,40,45,36
0.06,39,41,34
0,38,45,35
0.06,38,45,33
0,38,44,35
0.07,38,45,33
0.07,34,43,31
0,33,41,30
0.01,34,46,28
0.04,44,48,32
0.13,36,49,32
0.04,46,52,33
0.01,35,40,34
0.09,36,44,31
0,38,46,33
0.05,44,52,33
0,38,44,35
0.03,41,48,35
0,41,51,34
0.06,45,51,35
0.03,50,55,41
0,40,51,35
0,38,49,29
0,40,44,33
0,39,42,35
0,36,42,35
0,38,45,28
0,35,37,32
0.34,33,40,30
0.18,28,32,27
0.45,27,34,24
0.57,31,35,28
0.18,33,37,31
0.21,37,41,34
0.02,38,41,37
0.01,40,46,34
0,40,49,35
0,37,49,31
0.36,37,45,28
0,46,56,34
0.04,43,50,36
0.05,45,52,44
0.07,43,51,31
0.74,45,48,42
0.23,46,53,45
0.19,45,51,43
0.07,36,37,37
0.13,32,37,30
0,37,43,30
0,36,50,26
0,42,51,29
0.04,46,50,40
0.03,45,51,44
0,43,53,38
0,43,53,35
0.12,45,54,35
0.01,46,51,45
0,41,51,38
0.21,38,45,30
0.15,40,45,34
0.05,40,46,38
0.51,40,44,33
0.42,41,47,38
0.35,47,57,40
0.07,40,44,40
0,39,50,28
0.07,47,58,43
0.15,46,56,41
0.45,48,56,41
0.06,47,56,39
0.12,45,47,45
0.02,45,48,44
0,44,47,44
0,45,53,44
0.04,48,57,40
0.09,48,53,47
0.1,50,57,45
0,55,62,51
0,56,68,51
0,56,66,50
0,52,64,42
0.07,50,63,38
0.01,51,58,47
0.01,51,60,48
0.26,48,53,47
0.07,47,55,43
0.02,46,55,42
0.06,44,51,41
0,42,54,34
0,41,52,34
0,43,57,31
0.09,48,54,39
0.04,47,56,43
0.01,49,57,42
0,55,67,49
0,60,72,49
0,58,73,44
0.01,57,72,49
0.01,55,63,53
0.09,49,54,44
0,49,59,40
0.07,49,55,46
0.39,47,58,37
0,51,62,37
0,54,63,46
0.02,56,65,53
0,47,58,37
0,48,59,39
0,52,64,39
0.05,56,69,43
0.09,58,64,55
0.01,53,64,51
0,49,60,42
0,52,62,42
0.01,51,66,45
0,61,71,47
0,58,66,55
0.11,57,66,54
0,58,70,50
0,58,70,51
0,57,69,49
0,60,71,53
0.02,59,70,53
0,62,70,55
0,58,68,51
0,58,70,47
0,56,63,54
0,56,68,47
0,60,71,48
0,60,73,51
0,61,71,52
0,59,70,52
0,59,66,58
0,56,63,50
0.01,58,65,49
0,60,69,56
0.09,55,64,51
0,57,65,52
0,58,68,51
0,58,67,52
0.03,59,75,50
0,58,63,55
0,54,65,42
0,54,67,41
0,56,69,46
0,60,76,46
0,66,77,55
0,62,76,52
0,65,82,53
0.01,66,81,52
0,65,75,55
0,62,70,54
0,62,74,50
0,62,74,49
0,62,71,54
0,64,76,49
0,62,69,56
0,63,73,55
0,65,77,54
0,65,78,55
0,61,73,56
0,58,71,45
0,59,65,53
0,60,65,57
0,61,70,58
0.01,65,79,52
0.1,63,66,62
0,61,70,54
0,61,71,55
0,62,71,55
0.24,59,73,47
0.06,60,70,55
0,61,71,54
0.01,68,81,60
0.04,69,82,62
0,62,72,55
0,63,75,51
0,65,79,52
0.27,64,71,63
0.34,56,63,50
0.06,57,68,48
0.08,59,69,53
0,59,69,50
0.13,61,69,53
0.04,68,79,60
0,67,77,64
0,63,72,60
0,65,77,56
0.03,63,73,57
0,59,67,55
0,58,69,51
0,56,68,43
0.01,56,68,46
0.06,56,67,43
0.01,63,69,61
0,62,69,56
0,64,71,57
0.17,65,76,62
0.07,57,67,51
0.05,57,66,53
0.08,67,79,56
0.05,64,70,60
0.04,64,68,62
0.07,65,78,58
0.01,61,66,63
0.12,54,64,51
0.12,52,60,48
0.47,54,64,44
0.03,57,65,52
0,58,67,54
0.04,56,65,46
0,54,65,48
0,53,62,46
0,58,69,44
0,62,73,60
0.15,63,77,55
0,55,64,49
0,52,65,41
0.27,56,68,45
0.02,53,63,52
0.24,52,60,42
0,59,65,53
0,58,66,56
0.14,57,62,53
0.04,56,63,52
0,54,64,47
0.04,54,63,47
0.08,55,64,53
0.13,57,64,51
0,58,68,54
0.03,62,70,49
0.02,62,71,58
0.01,56,62,55
0.6,48,54,46
0.03,48,61,43
0,48,55,45
0,46,56,41
0,46,58,38
0,52,63,37
0,62,69,53
0.02,55,63,48
0,45,58,39
0,48,60,35
0,49,56,48
0.05,48,58,37
0.03,57,63,45
0,56,61,53
0.54,57,64,55
0,48,54,47
0,45,55,43
0,49,60,35
0,57,61,50
0,59,65,57
0,60,68,53
0.14,56,62,59
0.44,57,62,51
0.41,53,54,53
0,46,57,43
0,45,57,37
0,52,61,39
0,48,57,46
0,43,57,34
0,51,59,38
0,57,64,46
0.03,53,60,58
0,46,55,38
0,49,56,44
0,49,53,48
0.02,49,53,48
0,43,50,40
0,38,45,35
0.02,38,50,35
0,38,47,29
0.04,39,50,27
0.03,45,49,31
0,40,49,31
0.04,43,59,31
0,57,60,35
0.37,51,55,47
0.02,51,54,49
0.81,52,55,51
0.03,46,49,45
0.03,46,52,38
0.56,48,54,42
0.17,44,50,42
0.1,45,53,37
0,49,55,42
0.04,49,58,45
0,56,58,46
0,54,60,52
0,52,60,41
0,51,54,53
0,47,53,42
0.14,47,49,47
1.01,44,47,43
0.16,41,46,40
0,44,48,38
0,43,48,36
0.08,47,49,42
0.07,43,49,41
0.09,43,48,40
0.38,46,60,35
0.49,53,60,41
0.02,47,50,44
0.17,43,50,42
0.17,47,53,39
0.3,51,56,48
0,43,47,43
0.66,38,48,31
0.03,47,54,31
0.11,52,56,48
0.09,46,49,42
0.19,47,51,40
0,45,49,44
0.01,43,49,38
0.14,45,52,38
0.02,47,49,42
0.01,44,44,43
0.23,42,46,42
0.17,45,52,43
0.01,42,46,39
0.14,47,56,38
0.03,49,50,46
0.02,44,48,40
0.21,44,46,43
0.03,44,49,43
0.52,45,49,42
0.09,43,47,43
0,45,50,39
0,46,53,40
0,49,53,40
0,48,51,41
0,50,54,47
0.01,52,54,51
0,51,54,51
0,49,51,49
0.02,45,49,47
0,42,46,37
0,44,47,38
0,42,44,41
0,44,48,36
0,48,53,44
0,49,53,46
0,42,48,42
0.09,42,47,36
0.01,46,51,38
0.04,46,50,45
0,48,51,45
0.02,48,52,46
0,44,47,43
0.02,47,50,44
0.01,42,45,41
0.01,35,43,31
0.01,43,51,31
0.05,42,46,40
0.01,40,46,41
0.07,37,44,29
0,35,40,34
0.03,36,43,32
0.1,45,50,34
0,49,52,43
0.22,46,52,46
0.01,37,43,36
0.11,36,43,32
0.02,36,39,33
0.04,32,38,30
0.19,33,39,25
0,35,41,33
0,33,42,28
0.04,40,49,27
0.01,44,49,40
0.12,45,56,30
0.23,44,52,39
0.09,42,52,34
0.12,47,51,40
0.04,43,49,42
0.06,40,45,34
0,42,51,35
0,50,57,38
0,50,53,49
0,47,56,46
0,49,62,33
0.01,50,55,45
0,50,54,48
0.01,45,51,42
0.06,45,52,39
0,52,57,44
0,53,59,52
0,54,61,51
0,51,59,51
0,44,56,37
0,48,60,37
0,44,62,33
0,42,56,32
0,46,53,42
0.15,49,61,41
0.21,48,55,42
0.86,39,45,43
0.04,38,45,33
0.38,44,52,38
0,46,54,45
0.02,42,52,39
0.09,43,51,34
0.3,44,50,42
0.06,38,46,37
