"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-13","0.00","43","57","36"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-14","0.00","43","54","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-15","0.00","45","56","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-16","0.00","47","57","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-17","0.00","50","55","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-18","0.08","50","54","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-19","0.00","50","55","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-20","0.19","49","58","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-21","0.01","56","60","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-22","0.00","52","59","49"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-23","0.24","54","58","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-24","0.00","49","53","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-25","0.00","48","56","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-26","0.21","53","57","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-27","0.25","54","55","53"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-28","0.17","52","58","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-29","0.07","52","58","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-30","0.05","54","62","48"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-10-31","0.00","57","62","51"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-01","0.01","48","62","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-02","0.01","53","60","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-03","0.00","50","56","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-04","0.00","49","55","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-05","0.21","52","58","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-06","0.33","54","63","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-07","0.13","50","56","46"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-08","0.40","51","59","47"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-09","0.11","55","62","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-11-10","0.26","60","64","54"
